gene_id	MW1_cornea_mock_1	MW2_cornea_mock_2	MW3_cornea_mock_3	MW4_cornea_CoV2_1	MW5_cornea_CoV2_2	MW6_cornea_CoV2_3
SAMD1	484.927230297767	384.137955080077	482.459177392665	444.967619160725	369.706667450592	415.893994111732
SAMD10	4.94823704385477	6.12520657303084	9.74665004833666	14.6923270477598	12.8852189728088	10.0349757292375
SAMD11	394.86931609961	358.762099277521	542.888407692352	176.307924573117	231.933941510559	161.674608971049
SAMD12	12.8654163140224	15.7505311877936	12.6706450628377	9.44506738784557	7.92936552172852	8.91997842598888
SAMD13	0.989647408770953	3.50011804173191	0.974665004833666	0	4.95585345108032	4.45998921299444
SAMD14	59.3788445262572	49.8766820946797	61.403895304521	82.9067026266444	68.3907776249084	65.784840891668
SAMD15	22.7618904017319	35.8762099277521	30.2146151498436	23.0879425036225	29.7351207064819	32.3349217942097
SAMD3	1.97929481754191	5.25017706259787	4.87332502416833	2.09890386396568	6.93819483151245	1.11499730324861
SAMD4A	1232.11102391984	1269.66781963825	1512.68008750185	1416.76010817684	1697.87539234012	1412.70158321599
SAMD4B	1396.39249377582	1279.29314425301	1372.3283268058	1547.94159967469	1586.86427503592	1583.29617061303
SAMD5	222.670666973465	250.258439983832	238.792926184248	207.791482532603	219.04872253775	265.369358173169
SAMD7	0.989647408770953	0	0	0	0	0
SAMD8	1305.34493216889	1461.29928242307	1407.41626697981	1320.21053043441	1482.79135256323	1235.41701199946
SAMD9	241.473967740113	270.38411872379	315.791461566108	332.676262438561	376.644862282104	268.714350082915
SAMD9L	242.463615148884	287.009679422017	286.551511421098	421.879676657102	455.93851749939	371.294101981787
SAMHD1	819.428054462349	889.029982599905	796.301308949105	982.287008335939	926.74459535202	1002.3825756205
SAMM50	1064.86061183755	932.781458121554	871.350514321297	894.133046049381	741.395676281616	894.227837205386
SAMSN1	0	0	0	0	0.991170690216064	0
SAP130	618.529630481846	599.39521464659	562.381707789025	570.901850998666	624.437534836121	644.468441277697
SAP18	1910.01949892794	1890.93877204567	1591.62795289338	1524.85365717107	1420.34759907962	1894.38041821939
