gene_id	MW13_sclera_mock_1	MW14_sclera_mock_2	MW15_sclera_mock_3	MW16_sclera_CoV2_1	MW17_sclera_CoV2_2	MW18_sclera_CoV2_3
NEDD4L	53.4222783348047	72.9861822866225	63.8861778910793	76.0916301099442	55.3942331939327	67.172611340981
NEDD8	292.75408527473	350.554845225142	359.022323641418	311.468405916705	312.016497173988	254.932199667578
NEDD8-MDP1	2.13689113339219	0	4.49902661204784	5.07277534066295	3.39148366493465	4.85585142223959
NEDD9	1315.25649260289	1215.33052019694	1149.95120203943	679.751895648835	603.684092358368	592.41387351323
NEFH	114.323675636482	111.690975923468	89.9805322409568	71.0188547692813	88.178575288301	71.2191541928473
NEFL	1.06844556669609	0	0.899805322409568	1.01455506813259	0	2.42792571111979
NEFM	2.13689113339219	9.95266122090307	4.49902661204784	1.01455506813259	3.39148366493465	2.42792571111979
NEGR1	1365.47343423761	1400.00767840703	1341.60973571267	1151.52000233049	1189.28027183708	1239.86072981184
NEIL1	67.312070701854	53.0808598448164	45.890071442888	75.0770750418116	66.6991787437148	59.8888342076216
NEIL2	211.552222205827	186.888860703624	208.75483479902	188.707242672662	188.792590681362	212.038845437795
NEIL3	103.639219969521	98.4207609622637	114.275275946015	83.1935155868723	94.9615426181703	91.4518684521789
NEK1	681.668271552108	673.463409281108	656.857885358985	773.090961917033	800.390144924578	800.406176099159
NEK10	309.849214341867	354.97825021221	276.240233979737	395.67647657171	392.281610577442	376.328485223568
NEK11	86.5440909023837	65.2452235592535	65.6857885358985	75.0770750418116	83.6565970683881	74.4563884743403
NEK2	208.346885505738	197.947373171294	210.554445443839	169.430696378142	127.745884712539	157.005862652413
NEK3	111.118338936394	122.749488391138	147.568072875169	137.979489266032	132.267862932451	148.103468378307
NEK4	407.077760911212	461.139969901842	458.90071442888	450.46245025087	496.287109635438	479.919982231346
NEK5	1.06844556669609	5.52925623383504	0.899805322409568	0	2.26098910995644	3.23723428149306
NEK6	981.901475793711	978.678353388802	1029.37728883655	1073.39926208428	1043.44647424489	1052.10114148524
NEK7	1472.31799090722	1585.79068786389	1710.52991790059	1494.4396153593	1427.81462293749	1481.84399235345
NEK8	70.5174074019422	88.4680997413606	77.3832577272229	64.9315243604857	73.4821460735841	78.5029313262067
NEK9	3040.79608281708	3064.31380479138	2949.56184685856	3176.57191832314	3100.94656430525	3246.13667576716
NELFA	271.385173940808	275.356960444985	250.14587962986	258.71154237381	224.968416440665	250.885656815712
NELFB	894.288939324631	821.647476347887	868.312136125233	801.498503824746	774.388770160079	725.140479054445
NELFCD	900.699612724808	959.878882193763	871.011552092462	877.59013393469	855.784378118511	884.574267417978
NELFE	963.737901159877	894.63365863451	862.913304190776	818.745939983	868.219818223271	831.969210343716
NELL2	3.20533670008828	0	0.899805322409568	0	0	0
NEMF	1235.12307510069	1298.26936370447	1360.50564748327	1319.9361436405	1287.63329812019	1304.6054154417
NEMP1	349.381700309623	384.836233874919	406.712005729125	359.152494118937	359.497268483073	352.858536682743
